支払手段,日付,取引先,金額,科目,細目
現金,2026-09-13,-,-360.0,食費,昼食
現金,2026-09-13,-,-480.0,食費,昼食
現金,2026-09-10,ベックスコーヒー横浜北口店,-500.0,食費,昼食
現金,2026-09-10,ベックスコーヒー横浜北口店,390.0,食費,昼食
現金,2026-09-07,-,-110.0,食費,飲料
現金,2026-09-03,-,-1518.0,医療費,診察
現金,2026-09-03,カフェ・ド・クリエSaclass 戸塚店,-960.0,交際費,飲食
現金,2026-09-03,カフェ・ド・クリエSaclass 戸塚店,-420.0,交際費,飲食
LIFEカード,2026-09-03,ゾゾタウン,-11715.0,美容・衣類,洋服
現金,2026-09-02,ベックスコーヒーアトレ大船店,-930.0,食費,昼食
現金,2026-09-02,ベックスコーヒー小田原店,-500.0,食費,カフェ
現金,2026-09-02,ベックスコーヒー小田原店,390.0,食費,カフェ
現金,2026-08-31,-,-120.0,食費,飲料
LIFEカード,2026-08-31,アマゾンプライムカイヒ,-600.0,その他,手数料
現金,2026-08-30,-,-5000.0,交通費,その他
現金,2026-08-30,-,-13000.0,医療費,診察
LIFEカード,2026-08-27,Ｌｏｏｏｐでんき,-5464.0,水道光熱費,電気
LIFEカード,2026-08-27,ＰＡＹＰＡＬ　＊ＳＴＯＲＹ,-20000.0,教養,習い事
現金,2026-08-25,ベックスコーヒー横浜北口店,-500.0,食費,昼食
現金,2026-08-25,ベックスコーヒー横浜北口店,390.0,食費,昼食
LIFEカード,2026-08-25,ゾゾタウン,-3400.0,美容・衣類,洋服
LIFEカード,2026-08-23,ゾゾタウン,-4333.0,美容・衣類,洋服
LIFEカード,2026-08-23,ゾゾタウン,-4379.0,美容・衣類,洋服
現金,2026-08-21,-,-3000.0,消耗品,その他
JCBデビット,2026-08-15,ヤマト運輸株式会社,-1369.0,美容・衣類,洋服
JCBデビット,2026-08-15,まいばすけっと,-321.0,食費,昼食
JCBデビット,2026-08-15,ジョイナス,-1507.0,交際費,飲食
JCBデビット,2026-08-15,ヨークフーズ港南中央店,-485.0,食費,昼食
JCBデビット,2026-08-15,Ｓｕｉｃａ〔携帯決済〕,-10000.0,立替・資金移動,精算
JCBデビット,2026-08-14,＊ヤマトウンユ,-2854.0,美容・衣類,洋服
JCBデビット,2026-08-14,三和サクラス戸塚店,-535.0,食費,夕食
JCBデビット,2026-08-14,セリア２３０７サクラス戸塚店,-220.0,消耗品,日用品
JCBデビット,2026-08-14,まいばすけっと,-533.0,食費,昼食
JCBデビット,2026-08-13,まいばすけっと,-878.0,食費,昼食
JCBデビット,2026-08-13,ダイソー,-220.0,消耗品,日用品
JCBデビット,2026-08-13,ローソン寒川岡田,-130.0,食費,飲料
JCBデビット,2026-08-13,ローソン寒川岡田,-214.0,食費,昼食
JCBデビット,2026-08-13,ローソン寒川岡田,-171.0,食費,飲料
現金,2026-08-13,ベックスコーヒー横浜北口店,-500.0,食費,昼食
現金,2026-08-13,ベックスコーヒー横浜北口店,390.0,食費,昼食
JCBデビット,2026-08-12,アエナサクラス戸塚店,-488.0,食費,夕食
JCBデビット,2026-08-12,セリア２３０７サクラス戸塚店,-330.0,消耗品,日用品
