ID,その他,アプリ,イベント,カフェ,ガス,コスメ,会場,医薬品,夕食,大型出費,学費,手数料,携帯電話,日用品,昼食,朝食,洋服,生活用品,美容院,習い事,診察,贈答,間食,雑費,電気,電車,飲料,飲食
202505,-3960.0,0.0,-5500.0,-2105.0,0.0,-9999.0,-980.0,0.0,-14223.0,0.0,0.0,0.0,0.0,-1749.0,-7082.0,0.0,-2749.0,-350.0,-6000.0,0.0,-970.0,-483.0,-430.0,0.0,0.0,-1240.0,-1758.0,-7400.0
202506,-7947.0,0.0,0.0,-4300.0,0.0,-8637.0,-3900.0,0.0,-8494.0,0.0,0.0,0.0,0.0,-1535.0,-5633.0,0.0,0.0,-1870.0,0.0,-51491.0,-100080.0,0.0,-278.0,0.0,0.0,-1530.0,-2609.0,-10109.0
202507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202512,0.0,0.0,0.0,0.0,-1860.0,0.0,-1287.0,0.0,0.0,0.0,0.0,0.0,-2527.0,0.0,0.0,0.0,0.0,0.0,0.0,-15270.0,0.0,0.0,0.0,0.0,-5823.0,0.0,0.0,0.0
202601,-11263.0,0.0,0.0,-2449.0,-2177.0,-2750.0,-3301.0,-890.0,-17588.0,0.0,0.0,0.0,-2906.0,-2994.0,-9042.0,-882.0,-5020.0,-2350.0,-6000.0,-15370.0,0.0,0.0,0.0,0.0,-6710.0,-484.0,-2282.0,-13565.0
202602,-9218.0,-800.0,0.0,-3280.0,-3132.0,-17580.0,0.0,-3660.0,-13156.0,0.0,0.0,0.0,-3583.0,-3923.0,-13743.0,-882.0,-13200.0,-1650.0,0.0,-22170.0,-1200.0,-2076.0,0.0,0.0,-6237.0,-3320.0,-10365.0,-23259.0
202603,-39216.0,0.0,-2010.0,-6146.0,-2289.0,-22946.0,-700.0,-3090.0,-30476.0,0.0,-3316.0,0.0,-3231.0,-6356.0,-11458.0,0.0,-9844.0,-4059.0,0.0,-6300.0,-4500.0,-1832.0,-1464.0,-700.0,-4677.0,-2900.0,-7524.0,-9223.0
202604,-8150.0,0.0,-13430.0,-2560.0,-2732.0,-13551.0,-200.0,0.0,-14993.0,0.0,-3677.0,0.0,-3878.0,-1961.0,-9939.0,-1452.0,-6600.0,-9891.0,0.0,-6300.0,-760.0,0.0,-74.0,-6448.0,-5768.0,-1178.0,-4496.0,-27328.0
202605,-6880.0,0.0,-7400.0,-2356.0,-2611.0,-15000.0,0.0,0.0,-12086.0,0.0,0.0,0.0,-2712.0,-3702.0,-8591.0,0.0,-10759.0,-2279.0,0.0,-3300.0,0.0,0.0,0.0,0.0,-4371.0,-1208.0,-9126.0,-43153.0
202606,-2100.0,-4900.0,0.0,-6740.0,-2524.0,0.0,-1100.0,0.0,-8999.0,-192679.0,0.0,0.0,-2701.0,-4544.0,-7859.0,-1815.0,0.0,0.0,-6600.0,-9012.0,0.0,0.0,-1057.0,0.0,-4278.0,-684.0,-2304.0,-8074.0
202607,-12800.0,-255.0,-13980.0,-5378.0,-2039.0,-57508.0,-880.0,-1020.0,-24289.0,-110000.0,0.0,0.0,-2943.0,-2740.0,-15786.0,-1815.0,0.0,-5297.0,-6000.0,-17689.0,0.0,-2268.0,-377.0,-2100.0,-4402.0,-3566.0,-4396.0,-9191.0
202608,-8000.0,0.0,0.0,-5904.0,-1880.0,0.0,-1100.0,0.0,-12123.0,0.0,0.0,-600.0,0.0,-4351.0,-8246.0,-330.0,-16335.0,-3788.0,0.0,-39800.0,-13000.0,0.0,0.0,0.0,-5464.0,-1166.0,-8228.0,-12668.0
202609,0.0,0.0,0.0,-110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1880.0,0.0,-11715.0,0.0,0.0,0.0,-1518.0,0.0,0.0,0.0,0.0,0.0,-110.0,-1380.0
