日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2026-01-16,payment,食費,朝ご飯,Suica,-,オールドファッション,,ミスタードーナツ茅ケ崎北口ショップ,"（プレミアム会員で表示）",0,176,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-01-16,payment,食費,朝ご飯,Suica,-,モーニングド.JンクBセット,,ミスタードーナツ茅ケ崎北口ショップ,"（プレミアム会員で表示）",0,265,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-01-21,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-01-21,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-01-22,payment,食費,昼ご飯,Suica,-,luuL鴨,,"キッチンオリジン 藤棚店","（プレミアム会員で表示）",0,499,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-01-22,payment,食費,昼ご飯,Suica,-,,,"キッチンオリジン 藤棚店","（プレミアム会員で表示）",0,39,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-01-23,payment,食費,朝ご飯,Suica,-,オールドファッション,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,176,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-01-23,payment,食費,朝ご飯,Suica,-,モーニングドリンク日セット,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,265,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-01-23,payment,食費,朝ご飯,Suica,-,オールドファッション,,ミスタードーナツ中山ショップ,"（プレミアム会員で表示）",0,176,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-01-23,payment,食費,昼ご飯,Suica,-,ロイヤルミルクティ,,ミスタードーナツ中山ショップ,"（プレミアム会員で表示）",0,363,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-02-04,payment,食費,朝ご飯,Suica,-,オールドファッション,,ミスタードーナツ茅ケ崎北口ショップ,"（プレミアム会員で表示）",0,176,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-02-04,payment,食費,朝ご飯,Suica,-,モーニングドリンクBセット,,ミスタードーナツ茅ケ崎北口ショップ,"（プレミアム会員で表示）",0,265,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
