明細No.,契約,回数,利用日,利用先,利用金額,ATM利用料,手数料,支払総額,支払回数/何回目,当月支払金額,支払残高
1502,ショッピング,1回,2026/07/05,メルカリ,110000,,0,110000,1回払,110000,110000
1501,ショッピング,1回,2026/06/29,メルカリ,192679,,0,192679,1回払,192679,192679
1500,ショッピング,1回,2026/06/25,Ｌｏｏｏｐでんき,4278,,0,4278,1回払,4278,4278
1498,ショッピング,1回,2026/06/09,エフビツト　ガス,2524,,0,2524,1回払,2524,2524
1499,ショッピング,1回,2026/05/31,オプテージ利用料金,2712,,0,2712,1回払,2712,2712
1497,ショッピング,1回,2026/05/27,Ｌｏｏｏｐでんき,4371,,0,4371,1回払,4371,4371
1495,ショッピング,1回,2026/05/12,エフビツト　ガス,2611,,0,2611,1回払,2611,2611
1496,ショッピング,1回,2026/04/30,オプテージ利用料金,3878,,0,3878,1回払,3878,3878
1494,ショッピング,1回,2026/04/25,Ｌｏｏｏｐでんき,5768,,0,5768,1回払,5768,5768
1489,ショッピング,1回,2026/04/09,ＪＲヒガシニホン　ミドリノマドグ,4880,,0,4880,1回払,4880,4880
1490,ショッピング,1回,2026/04/09,ＪＲヒガシニホン　ミドリノマドグ,5950,,0,5950,1回払,5950,5950
1492,ショッピング,1回,2026/04/09,サンワ　サクラス　トツカテン,95,,0,95,1回払,95,95
1491,ショッピング,1回,2026/04/08,エフビツト　ガス,2732,,0,2732,1回払,2732,2732
1493,ショッピング,1回,2026/03/31,オプテージ利用料金,3231,,0,3231,1回払,3231,3231
1488,ショッピング,1回,2026/04/01,ニトリ,1790,,0,1790,1回払,1790,1790
1487,ショッピング,1回,2026/03/29,ニトリ,2990,,0,2990,1回払,2990,2990
1485,ショッピング,1回,2026/03/28,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,1999,,0,1999,1回払,1999,1999
1486,ショッピング,1回,2026/03/27,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,7000,,0,7000,1回払,7000,7000
1483,ショッピング,1回,2026/03/26,Ｌｏｏｏｐでんき,4677,,0,4677,1回払,4677,4677
1484,ショッピング,1回,2026/03/26,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,1380,,0,1380,1回払,1380,1380
1482,ショッピング,1回,2026/03/21,ニトリ,1990,,0,1990,1回払,1990,1990
1481,ショッピング,1回,2026/03/20,ニトリ,1990,,0,1990,1回払,1990,1990
1478,ショッピング,1回,2026/03/09,エフビツト　ガス,2289,,0,2289,1回払,2289,2289
1480,ショッピング,1回,2026/02/28,オプテージ利用料金,3583,,0,3583,1回払,3583,3583
1476,ショッピング,1回,2026/02/25,Ｌｏｏｏｐでんき,6237,,0,6237,1回払,6237,6237
1477,ショッピング,1回,2026/02/25,ビツプスキントレ－ナ,5970,,0,5970,1回払,5970,5970
1474,ショッピング,1回,2026/02/09,エフビツト　ガス,3132,,0,3132,1回払,3132,3132
1475,ショッピング,1回,2026/01/31,オプテージ利用料金,2906,,0,2906,1回払,2906,2906
1473,ショッピング,1回,2026/02/02,ライトコ－ポレ－シヨンケツサイサ,9900,,0,9900,1回払,9900,9900
1472,ショッピング,1回,2026/01/27,Ｌｏｏｏｐでんき,6710,,0,6710,1回払,6710,6710
1471,ショッピング,1回,2026/01/25,ビツプスキントレ－ナ,5970,,0,5970,1回払,5970,5970
1469,ショッピング,1回,2026/01/12,ライトコ－ポレ－シヨンケツサイサ,5500,,0,5500,1回払,5500,5500
1466,ショッピング,1回,2026/01/10,ＵＤＥＭＹ＋９０５３２６２５３８８０,3900,,0,3900,1回払,3900,3900
1467,ショッピング,1回,2026/01/09,エフビツト　ガス,2177,,0,2177,1回払,2177,2177
1465,ショッピング,1回,2026/01/06,ゾゾタウン,5020,,0,5020,1回払,5020,5020
1464,ショッピング,1回,2026/01/03,ｉｎｓｔａｂａｓｅ,743,,0,743,1回払,743,743
1463,ショッピング,1回,2026/01/02,ｉｎｓｔａｂａｓｅ,1568,,0,1568,1回払,1568,1568
1462,ショッピング,1回,2026/01/01,ｉｎｓｔａｂａｓｅ,990,,0,990,1回払,990,990
1468,ショッピング,1回,2026/01/01,三井のカーシェアーズ,2530,,0,2530,1回払,2530,2530
1470,ショッピング,1回,2025/12/31,オプテージ利用料金,2527,,0,2527,1回払,2527,2527
1460,ショッピング,1回,2025/12/29,ｉｎｓｔａｂａｓｅ,1287,,0,1287,1回払,1287,1287
1459,ショッピング,1回,2025/12/25,ビツプスキントレ－ナ,5970,,0,5970,1回払,5970,5970
1458,ショッピング,1回,2025/12/24,Ｌｏｏｏｐでんき,5823,,0,5823,1回払,5823,5823
1455,ショッピング,1回,2025/12/09,ＵＤＥＭＹ＋９０５３２６２５３８８０,9300,,0,9300,1回払,9300,9300
1456,ショッピング,1回,2025/12/08,エフビツト　ガス,1860,,0,1860,1回払,1860,1860
1457,ショッピング,1回,2025/11/30,オプテージ利用料金,2640,,0,2640,1回払,2640,2640
1422,ショッピング,分割,2025/07/25,１Ｄａｙセミナー,374000,,18700,392700,5/5,78500,78500
1505,ショッピング,1回,2026/07/28,Ｌｏｏｏｐでんき,4402,,0,4402,1回払,4402,4402
1503,ショッピング,1回,2026/07/08,エフビツト　ガス,2039,,0,2039,1回払,2039,2039
1504,ショッピング,1回,2026/06/30,オプテージ利用料金,2701,,0,2701,1回払,2701,2701
