明細通番,日付,お引出金額,お預入金額,残高,お取引内容
20260812000020,2026.08.12,2218,,447971,ＪＣＢデビット
20260812000010,2026.08.12,484,,450189,ＪＣＢデビット
20260811000070,2026.08.11,311,,450673,ＪＣＢデビット
20260811000060,2026.08.11,3788,,450984,ＪＣＢデビット
20260811000050,2026.08.11,19800,,454772,ＪＣＢデビット
20260811000040,2026.08.11,2562,,474572,ＪＣＢデビット
20260811000030,2026.08.11,6692,,477134,ＪＣＢデビット
20260811000020,2026.08.11,220,,483826,ＪＣＢデビット
20260811000010,2026.08.11,419,,484046,ＪＣＢデビット
20260810000050,2026.08.10,537,,484465,ＪＣＢデビット
